freq	dB(S21_fitted)
6.84375000000000000E+09	-1.04221213601526608E+00
6.85156250000000000E+09	-1.03234607785187049E+00
6.85937500000000000E+09	-1.02877267824779173E+00
6.86718750000000000E+09	-1.03139380935625402E+00
6.87500000000000000E+09	-1.04001770004298710E+00
6.88281250000000000E+09	-1.05436502624257544E+00
6.89062500000000000E+09	-1.07407711583203636E+00
6.89843750000000000E+09	-1.09872584335446644E+00
6.90625000000000000E+09	-1.12782472999311811E+00
6.91406250000000000E+09	-1.16084074353886413E+00
6.92187500000000000E+09	-1.19720630935517969E+00
6.92968750000000000E+09	-1.23633109049139489E+00
6.93750000000000000E+09	-1.27761316474296249E+00
6.94531250000000000E+09	-1.32044930932110893E+00
6.95312500000000000E+09	-1.36424419098050564E+00
6.96093750000000000E+09	-1.40841834343191219E+00
6.96875000000000000E+09	-1.45241488901492977E+00
6.97656250000000000E+09	-1.49570502437975783E+00
6.98437500000000000E+09	-1.53779233870572107E+00
6.99218750000000000E+09	-1.57821606772999257E+00
7.00000000000000000E+09	-1.61655340868142661E+00
7.00781250000000000E+09	-1.65242103192773815E+00
7.01562500000000000E+09	-1.68547592689691084E+00
7.02343750000000000E+09	-1.71541571480588395E+00
7.03125000000000000E+09	-1.74197855093305454E+00
7.03906250000000000E+09	-1.76494272633138793E+00
7.04687500000000000E+09	-1.78412606438301480E+00
7.05468750000000000E+09	-1.79938519249007012E+00
7.06250000000000000E+09	-1.81061475421522466E+00
7.07031250000000000E+09	-1.81774661279809768E+00
7.07812500000000000E+09	-1.82074908343566344E+00
7.08593750000000000E+09	-1.81962621912181888E+00
7.09375000000000000E+09	-1.81441716317577928E+00
7.10156250000000000E+09	-1.80519557076335624E+00
7.10937500000000000E+09	-1.79206909160906558E+00
7.11718750000000000E+09	-1.77517889658596606E+00
7.12500000000000000E+09	-1.75469922185583349E+00
7.13281250000000000E+09	-1.73083689566173105E+00
7.14062500000000000E+09	-1.70383080476568294E+00
7.14843750000000000E+09	-1.67395124997823164E+00
7.15625000000000000E+09	-1.64149913345094767E+00
7.16406250000000000E+09	-1.60680491471546771E+00
7.17187500000000000E+09	-1.57022726829253689E+00
7.17968750000000000E+09	-1.53215137361318421E+00
7.18750000000000000E+09	-1.49298676864002378E+00
7.19531250000000000E+09	-1.45316470265929842E+00
7.20312500000000000E+09	-1.41313493194598072E+00
7.21093750000000000E+09	-1.37336191502621863E+00
7.21875000000000000E+09	-1.33432038253372642E+00
7.22656250000000000E+09	-1.29649028035104252E+00
7.23437500000000000E+09	-1.26035111358993790E+00
7.24218750000000000E+09	-1.22637575221548922E+00
7.25000000000000000E+09	-1.19502379535575076E+00
7.25781250000000000E+09	-1.16673462852618326E+00
7.26562500000000000E+09	-1.14192034351739036E+00
7.27343750000000000E+09	-1.12095872150707287E+00
7.28125000000000000E+09	-1.10418650286382913E+00
7.28906250000000000E+09	-1.09189317910266959E+00
7.29687500000000000E+09	-1.08431554111111095E+00
7.30468750000000000E+09	-1.08163320165416765E+00
7.31250000000000000E+09	-1.08396527914688701E+00
7.32031250000000000E+09	-1.09136838508565814E+00
7.32812500000000000E+09	-1.10383600213018074E+00
7.33593750000000000E+09	-1.12129927761820758E+00
7.34375000000000000E+09	-1.14362919305262389E+00
7.35156250000000000E+09	-1.17064000884389818E+00
7.35937500000000000E+09	-1.20209382998476677E+00
7.36718750000000000E+09	-1.23770609615846605E+00
7.37500000000000000E+09	-1.27715177154214321E+00
7.38281250000000000E+09	-1.32007199630126992E+00
7.39062500000000000E+09	-1.36608096306643412E+00
7.39843750000000000E+09	-1.41477279588431903E+00
7.40625000000000000E+09	-1.46572823367452121E+00
7.41406250000000000E+09	-1.51852095202867021E+00
7.42187500000000000E+09	-1.57272339306697084E+00
7.42968750000000000E+09	-1.62791201005134756E+00
7.43750000000000000E+09	-1.68367186903342958E+00
7.44531250000000000E+09	-1.73960058208531021E+00
7.45312500000000000E+09	-1.79531157435313538E+00
7.46093750000000000E+09	-1.85043670963127549E+00
7.46875000000000000E+09	-1.90462831623312456E+00
7.47656250000000000E+09	-1.95756066689011243E+00
7.48437500000000000E+09	-2.00893097377470564E+00
7.49218750000000000E+09	-2.05845996320779712E+00
7.50000000000000000E+09	-2.10589209493391172E+00
7.50781250000000000E+09	-2.15099548877707791E+00
7.51562500000000000E+09	-2.19356161771621982E+00
7.52343750000000000E+09	-2.23340482154209985E+00
7.53125000000000000E+09	-2.27036168977493569E+00
7.53906250000000000E+09	-2.30429035682612460E+00
7.54687500000000000E+09	-2.33506974677290513E+00
7.55468750000000000E+09	-2.36259879978847298E+00
7.56250000000000000E+09	-2.38679570736668500E+00
7.57031250000000000E+09	-2.40759717907307058E+00
7.57812500000000000E+09	-2.42495775967141958E+00
7.58593750000000000E+09	-2.43884921210873173E+00
7.59375000000000000E+09	-2.44925997895778558E+00
7.60156250000000000E+09	-2.45619473246329578E+00
7.60937500000000000E+09	-2.45967402124913370E+00
7.61718750000000000E+09	-2.45973401994622787E+00
7.62500000000000000E+09	-2.45642638641174615E+00
7.63281250000000000E+09	-2.44981822974470953E+00
7.64062500000000000E+09	-2.43999219086970243E+00
7.64843750000000000E+09	-2.42704663596465231E+00
7.65625000000000000E+09	-2.41109596135079496E+00
7.66406250000000000E+09	-2.39227100653966662E+00
7.67187500000000000E+09	-2.37071956983528942E+00
7.67968750000000000E+09	-2.34660701810901529E+00
7.68750000000000000E+09	-2.32011697898926839E+00
7.69531250000000000E+09	-2.29145209963146890E+00
7.70312500000000000E+09	-2.26083485135780071E+00
