freq	dB(S11_fitted)
6.52343750000000000E+09	-8.53401711687175002E+00
6.53125000000000000E+09	-8.15832445942688089E+00
6.53906250000000000E+09	-7.83041609220305634E+00
6.54687500000000000E+09	-7.54495101974748206E+00
6.55468750000000000E+09	-7.29750676635981321E+00
6.56250000000000000E+09	-7.08440685362749356E+00
6.57031250000000000E+09	-6.90259048917731377E+00
6.57812500000000000E+09	-6.74951277300999042E+00
6.58593750000000000E+09	-6.62306742545119231E+00
6.59375000000000000E+09	-6.52152648062521134E+00
6.60156250000000000E+09	-6.44349302749781661E+00
6.60937500000000000E+09	-6.38786420021569690E+00
6.61718750000000000E+09	-6.35380239942537539E+00
6.62500000000000000E+09	-6.34071328111570587E+00
6.63281250000000000E+09	-6.34822945412454587E+00
6.64062500000000000E+09	-6.37619913166366992E+00
6.64843750000000000E+09	-6.42467922021205418E+00
6.65625000000000000E+09	-6.49393252525904163E+00
6.66406250000000000E+09	-6.58442892607347119E+00
6.67187500000000000E+09	-6.69685053614297310E+00
6.67968750000000000E+09	-6.83210103621903020E+00
6.68750000000000000E+09	-6.99131955766395841E+00
6.69531250000000000E+09	-7.17589972201142778E+00
6.70312500000000000E+09	-7.38751472959647870E+00
6.71093750000000000E+09	-7.62814976376516096E+00
6.71875000000000000E+09	-7.90014347529064320E+00
6.72656250000000000E+09	-8.20624098562843685E+00
6.73437500000000000E+09	-8.54966176718147608E+00
6.74218750000000000E+09	-8.93418701572916873E+00
6.75000000000000000E+09	-9.36427283827521961E+00
6.75781250000000000E+09	-9.84519785706303452E+00
6.76562500000000000E+09	-1.03832567319544999E+01
6.77343750000000000E+09	-1.09860144035405032E+01
6.78125000000000000E+09	-1.16626384155622720E+01
6.78906250000000000E+09	-1.24243245762135359E+01
6.79687500000000000E+09	-1.32848123567687786E+01
6.80468750000000000E+09	-1.42609141991706494E+01
6.81250000000000000E+09	-1.53727457417919506E+01
6.82031250000000000E+09	-1.66425952587170514E+01
6.82812500000000000E+09	-1.80890270596847849E+01
6.83593750000000000E+09	-1.97057132530728865E+01
6.84375000000000000E+09	-2.13966803904208724E+01
6.85156250000000000E+09	-2.28306968528728049E+01
6.85937500000000000E+09	-2.33782821785488757E+01
6.86718750000000000E+09	-2.26932845959522069E+01
6.87500000000000000E+09	-2.12384225060770007E+01
6.88281250000000000E+09	-1.96086651823793012E+01
6.89062500000000000E+09	-1.80809029243630732E+01
6.89843750000000000E+09	-1.67270791802749521E+01
6.90625000000000000E+09	-1.55460479795762758E+01
6.91406250000000000E+09	-1.45175366071455887E+01
6.92187500000000000E+09	-1.36192746611979469E+01
6.92968750000000000E+09	-1.28315995397450600E+01
6.93750000000000000E+09	-1.21382035015185181E+01
6.94531250000000000E+09	-1.15258049348652136E+01
6.95312500000000000E+09	-1.09836062191671484E+01
6.96093750000000000E+09	-1.05027879588275397E+01
6.96875000000000000E+09	-1.00760959352735071E+01
6.97656250000000000E+09	-9.69751904548674482E+00
6.98437500000000000E+09	-9.36204212722783247E+00
6.99218750000000000E+09	-9.06545676553427704E+00
7.00000000000000000E+09	-8.80421597574577497E+00
7.00781250000000000E+09	-8.57532188282988272E+00
7.01562500000000000E+09	-8.37623826844046171E+00
7.02343750000000000E+09	-8.20482198953119912E+00
7.03125000000000000E+09	-8.05926886092899508E+00
7.03906250000000000E+09	-7.93807075875547863E+00
7.04687500000000000E+09	-7.83998155124724949E+00
7.05468750000000000E+09	-7.76399008473357544E+00
7.06250000000000000E+09	-7.70929890974787124E+00
7.07031250000000000E+09	-7.67530777239725204E+00
7.07812500000000000E+09	-7.66160115308022061E+00
7.08593750000000000E+09	-7.66793933292530294E+00
7.09375000000000000E+09	-7.69425262584295666E+00
7.10156250000000000E+09	-7.74063854421768482E+00
7.10937500000000000E+09	-7.80736177935260578E+00
7.11718750000000000E+09	-7.89485698221035115E+00
7.12500000000000000E+09	-8.00373443305277554E+00
7.13281250000000000E+09	-8.13478879707566804E+00
7.14062500000000000E+09	-8.28901128386651820E+00
7.14843750000000000E+09	-8.46760566862227115E+00
7.15625000000000000E+09	-8.67200880006468111E+00
7.16406250000000000E+09	-8.90391642134845185E+00
7.17187500000000000E+09	-9.16531537187570500E+00
7.17968750000000000E+09	-9.45852352033938004E+00
7.18750000000000000E+09	-9.78623908898814854E+00
7.19531250000000000E+09	-1.01516013191221006E+01
7.20312500000000000E+09	-1.05582645756473781E+01
7.21093750000000000E+09	-1.10104877031502397E+01
7.21875000000000000E+09	-1.15132390623533603E+01
7.22656250000000000E+09	-1.20723136924440908E+01
7.23437500000000000E+09	-1.26944490655638589E+01
7.24218750000000000E+09	-1.33874021703693469E+01
